transaction_id,quality_score,lineage_confidence,risk_score,aml_flag,ofac_flag,transaction_date
1,92.96714153011233,62.10630930547131,56,0,0,2025-03-27
2,86.61735698828815,74.67537987064597,35,0,0,2025-03-23
3,94.47688538100692,80.03673359894027,52,0,0,2025-03-24
4,100.0,100.0,29,0,0,2025-03-12
5,85.65846625276664,91.6786374944051,96,0,0,2025-03-06
6,85.6586304305082,68.9742211708013,66,0,0,2025-02-08
7,100.0,90.83243547301164,40,0,0,2025-02-26
8,95.67434729152909,66.43235213273961,74,0,0,2025-03-24
9,83.30525614065049,97.99229264664488,53,1,0,2025-03-10
10,93.42560043585965,79.34650417818546,92,0,0,2025-03-28
11,83.36582307187538,83.87636573512995,99,0,0,2025-01-07
12,83.34270246429743,100.0,73,0,0,2025-03-22
13,90.41962271566034,69.554037176989,95,0,0,2025-02-09
14,68.86719755342202,68.2345817786441,84,0,0,2025-03-18
15,70.75082167486967,77.99680808384794,26,0,0,2025-01-24
16,82.37712470759027,97.4605462122318,90,0,0,2025-01-04
17,77.87168879665576,66.7678470942779,81,1,0,2025-03-12
18,91.14247332595274,51.014132822673176,88,0,0,2025-02-28
19,78.91975924478788,79.58609369909202,96,0,0,2025-02-17
20,73.87696298664709,91.62088959893104,73,0,0,2025-02-15
21,100.0,99.40314099686594,96,0,0,2025-02-03
22,85.74223699513465,79.44206365497521,92,0,1,2025-03-02
23,88.67528204687923,80.06288071460797,80,0,0,2025-03-27
24,73.75251813786544,98.84680881106897,86,0,0,2025-02-28
25,82.55617275474818,62.563099603654955,54,0,0,2025-03-04
26,89.10922589709867,80.33775069780388,99,0,0,2025-03-01
27,76.49006422577698,87.28508667910069,89,0,0,2025-03-31
28,91.75698018345672,90.39062465542041,7,1,0,2025-02-25
29,81.99361310081196,78.8823196817094,54,0,0,2025-02-06
30,85.08306250206724,85.41329214047009,87,0,0,2025-01-23
31,81.98293387770603,55.140071759044126,9,0,0,2025-02-08
32,100.0,77.10101905199382,3,0,0,2025-01-19
33,87.86502775262066,90.44210455065361,75,0,0,2025-02-26
34,77.422890710441,73.21247158894384,55,0,0,2025-01-20
35,96.22544912103189,85.70781065907516,73,0,0,2025-01-10
36,75.79156350028978,90.36247000963237,43,1,0,2025-03-14
37,90.08863595004756,80.88940958970682,27,0,0,2025-03-07
38,68.40329876120225,87.04556525195885,90,0,0,2025-01-27
39,74.71813951101569,73.44720921658465,81,0,0,2025-02-23
40,89.96861235869123,82.52066464364744,33,0,0,2025-02-21
41,95.3846657999541,92.32259403507067,53,1,0,2025-03-05
42,89.7136828118997,86.88367553162121,85,0,0,2025-01-24
43,86.8435171761176,77.96162476523277,12,1,0,2025-03-10
44,84.98896304410711,87.69059685148952,24,0,0,2025-02-10
45,73.21478009632573,93.57531748763941,12,0,0,2025-02-20
46,80.80155791605291,60.400704657070264,94,0,0,2025-01-13
47,83.39361229040213,98.90888877947077,92,0,0,2025-02-09
48,98.57122226218915,80.96494313582714,92,1,1,2025-01-26
49,91.43618289568461,90.10587919888276,91,0,0,2025-02-22
50,70.36959844637266,99.36696308374273,89,0,0,2025-01-12
51,91.24083969394795,68.53991563323441,79,0,0,2025-01-04
52,84.14917719583684,76.48670797086945,88,0,0,2025-03-21
53,81.23077999694041,81.53741564949155,6,0,0,2025-02-16
54,94.11676288840867,75.59495774650686,87,0,0,2025-01-09
55,98.30999522495951,100.0,93,0,0,2025-01-12
56,97.31280119116198,74.71873487407849,81,0,0,2025-02-28
57,79.60782476777362,78.3334386461576,59,0,0,2025-02-24
58,84.90787624148786,87.45266837923572,46,0,0,2025-01-24
59,91.31263431403563,70.57420568708693,88,0,0,2025-02-15
60,97.75545127122359,80.25183145892484,90,0,0,2025-02-19
61,83.2082576215471,88.80943913500211,95,0,0,2025-01-23
62,86.14341023336183,81.00567514740986,57,0,0,2025-02-11
63,76.93665025993971,83.87935769320062,92,0,0,2025-02-01
64,76.0379337591933,78.64801465061954,84,0,0,2025-01-12
65,96.12525822394198,66.8263562898308,96,0,0,2025-02-07
66,100.0,88.85911853607087,82,0,0,2025-03-13
67,87.27989878419666,100.0,81,0,1,2025-03-29
68,98.03532897892023,85.22081956940126,84,0,0,2025-01-26
69,91.61636025047635,87.70316940697059,92,0,0,2025-02-04
70,81.54880245394875,93.31267306140231,98,0,0,2025-01-06
71,91.61395605508415,69.7680340414396,12,0,0,2025-03-10
72,100.0,100.0,8,0,0,2025-02-11
73,87.64173960890048,87.42794555707363,98,0,0,2025-02-27
74,100.0,100.0,82,1,0,2025-01-29
75,61.80254895910255,76.20360405371213,86,0,0,2025-03-06
76,96.21902504375224,100.0,80,0,0,2025-02-18
77,88.87047068238171,94.3018659284174,15,0,0,2025-02-07
